OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036EM,2026-08-17T08:43:41.819808,14.39344389,.00378279,74.0313,218.9574,239.2661,120.4766,0,U,33932,999,91560,.19761423E-3,.593E-5,0
COSMOS 2251 DEB,1993-036EN,2026-08-17T06:28:23.303424,14.33933705,.00724939,74.0905,328.7890,274.9247,84.3631,0,U,33933,999,91332,.13642328E-3,.365E-5,0
COSMOS 2251 DEB,1993-036EP,2026-08-17T07:29:35.922912,14.60746877,.0015811,74.0379,348.1384,41.3729,318.8632,0,U,33934,999,92352,.31964309E-3,.1532E-4,0
COSMOS 2251 DEB,1993-036ER,2026-08-17T13:31:56.953632,14.61674019,.00279235,74.0156,283.2195,8.7421,351.4225,0,U,33936,999,92509,.23654477E-3,.1153E-4,0
COSMOS 2251 DEB,1993-036ET,2026-08-17T02:04:27.430176,14.47552920,.00158252,74.0442,105.0341,130.7064,19.5944,0,U,33938,999,91978,.19447925E-3,.69E-5,0
COSMOS 2251 DEB,1993-036EU,2026-08-17T05:14:23.579808,15.38064578,.00124062,73.9917,283.4485,328.3476,31.6983,0,U,33939,999,92504,.27632376E-2,.105216E-2,0
COSMOS 2251 DEB,1993-036EV,2026-08-17T05:27:49.856832,14.60740473,.00114043,74.0384,31.3874,47.6772,126.9296,0,U,33940,999,92205,.41651187E-3,.2004E-4,0
COSMOS 2251 DEB,1993-036EX,2026-08-17T14:03:39.256992,14.38271257,.00212059,74.0363,178.2512,208.2887,265.4278,0,U,33942,999,91697,.99750457E-4,.278E-5,0
COSMOS 2251 DEB,1993-036EZ,2026-08-17T10:30:55.139616,14.37744431,.01145585,74.0381,213.0273,252.6400,265.0908,0,U,33944,999,91587,.12031899E-3,.362E-5,0
COSMOS 2251 DEB,1993-036FA,2026-08-17T09:19:52.263840,14.34761333,.00239683,74.0277,212.4188,243.5719,116.2974,0,U,33945,999,91567,.52208005E-4,.122E-5,0
COSMOS 2251 DEB,1993-036FD,2026-08-17T08:57:36.548352,14.35855745,.00244567,74.0337,210.6884,231.9983,127.8961,0,U,33948,999,91577,.83102628E-4,.215E-5,0
